,gene,pLI
219,SAE1,0.9876
220,MCF2L2,1.1565000000000001e-24
221,KIF5C,1.0
222,RPGRIP1L,4.083e-31
223,MID1,0.97967
224,C10ORF2,[]
225,HUWE1,1.0
226,C3ORF58,[]
227,SNAPC1,2.3628e-16
228,DYNC1H1,1.0
229,C5ORF30,[]
230,LGR6,2.9439e-06
231,ANKRD11,1.0
232,URB1,1.2230999999999999e-17
233,H3F3B,0.80682
234,CHST2,0.018039
235,KIAA1109,3.2559e-21
236,PLXNB3,0.23163000000000003
237,SAP30BP,0.00011365
238,GUCY1A3,3.1253e-08
239,MKS1,3.3768e-16
240,ACO2,0.20790999999999998
241,SCN11A,6.9339e-26
242,DHCR7,3.949e-13
243,UNC13D,1.091e-18
244,TFE3,0.97985
245,RTTN,8.9747e-34
246,DOCK10,2.5524e-06
247,MEGF9,0.9881
248,ZMIZ1,0.9993700000000001
249,PDHX,9.7242e-05
250,MECR,2.2332e-05
251,CYC1,0.13875
252,C5ORF42,[]
253,DOK7,0.00010263
254,MFAP4,0.11416
255,GNB1,0.9992
256,ND5,[]
257,DMXL1,1.0
258,ABL1,0.99998
259,HID1,0.026841000000000004
260,NUP85,1.0
261,FDX1,0.086575
262,SSPO,[]
263,RBM27,0.9999899999999999
264,TMEM67,2.0654e-24
265,GAA,2.8174e-18
266,ANK2,1.0
267,COL1A1,1.0
268,DMGDH,2.0503000000000003e-24
269,TRAPPC5,0.22841
270,PTPN11,0.99998
271,COL6A1,0.99995
272,ARID1A,1.0
273,MYH11,0.77299
274,RELN,1.0
275,TPP1,6.256399999999999e-07
276,KIAA1210,0.0091034
277,MEX3C,0.86192
278,TSFM,1.9197e-09
279,LAMA2,2.4118e-47
280,NOTCH1,1.0
281,GRIN2A,0.99998
282,CACNA1H,4.7778e-10
283,KDM5C,1.0
284,CACNA1C,1.0
285,TUBB3,0.9676100000000001
286,ADAMTS10,0.84288
287,ATG4D,0.00026752
288,RECQL5,3.1723e-18
289,FLNA,1.0
290,USP7,1.0
291,C2orf61,9.5142e-05
292,MYLK4,3.0554000000000003e-13
293,FOXP1,0.99998
294,TBCB,0.011028
295,ATXN1,0.97498
296,SHANK2,8.4299e-07
297,KANSL1,0.99972
298,KIF1B,1.0
299,CITED2,0.76271
300,WWOX,1.2376e-15
301,SLC13A5,0.00050598
302,F8,1.0
303,OPHN1,0.99985
304,PI4KA,3.1234e-12
305,ABCA4,5.349899999999999e-48
306,PIEZO1,3.9379000000000006e-21
307,EP300,1.0
308,SS18L1,0.98229
309,MT-CYB,[]
310,CEP250,9.448999999999999e-33
311,PLEKHG1,0.012728
312,KIF25,9.635700000000002e-07
313,TYMP,0.00011694
314,DNAH14,2.6938e-16
315,GGA3,1.6701e-06
316,TNNT3,2.0758000000000004e-07
317,KCNH2,0.99593
318,SLC12A2,0.9615299999999999
319,EDEM1,1.0594000000000001e-13
320,SUMO2,0.8694299999999999
321,CEP290,1.0548999999999998e-60
322,GJD3,3.3471e-05
323,METTL5,5.1688000000000004e-05
324,TCN2,1.0478e-06
325,EPN2,0.74755
326,TCTN3,4.1528e-12
327,IFT172,3.2682e-33
328,BMP4,0.9564
329,NEFL,[]
330,SOS1,1.0
331,TMEM216,0.0018855
332,RRM2B,0.002357
333,NALCN,8.5243e-14
334,RPL15,0.97146
335,MMACHC,1.1402e-13
336,TBCK,2.0934999999999998e-15
337,ZC4H2,0.9075200000000001
338,NACC1,0.9976299999999999
339,SRPK3,0.29235
340,RBM10,1.0
341,TMEM39B,0.0065082
342,ZNF227,9.2465e-11
343,ALDOA,0.0013228
344,ZNRF4,0.48866000000000004
345,ECI1,1.5853e-12
346,GPRASP1,0.31099
347,TMCO2,5.4723000000000004e-05
348,CHD2,1.0
349,SLC52A2,0.0024776999999999998
350,MSRA,1.5332000000000001e-15
351,SCN8A,1.0
352,COL6A2,6.5112e-08
353,RPS23,0.85944
354,PHKA1,2.0904e-07
355,GLB1,7.921499999999999e-10
356,SLCO5A1,1.5378e-06
357,UPF1,1.0
358,ARID4A,1.0
359,PUM2,0.99492
360,SETX,0.95483
361,SCN7A,2.1568e-17
362,KCNQ2,0.99998
363,IFT140,9.914e-24
364,DNAH7,1.3504999999999999e-71
365,SATB2,0.9999899999999999
366,TBL1XR1,0.99995
367,SCARA3,2.9816e-08
368,GBE1,1.1497e-12
369,ELP2,4.1811e-20
370,MAPK8IP3,1.0
371,ADCY5,0.99928
372,ATAD3B,1.0032e-22
373,KCNT1,2.7613e-05
374,PCDHB4,7.0275e-12
375,TMEM237,1.8704e-12
376,CASKIN2,0.99971
377,SCN9A,4.752399999999999e-19
378,KLF6,0.97946
379,SLC4A2,0.98521
380,SCN1A,1.0
381,SYNGAP1,1.0
382,SCN5A,0.91291
383,TCP10,5.0062000000000005e-06
384,MAP1S,0.4197
385,ZIC1,0.9337799999999999
386,DNER,0.1859
387,gene,[]
388,PAQR9,0.1367
389,SPAST,0.99939
390,CHRNB2,0.00072964
391,NDUFA10,6.2418e-08
392,CHRNA1,2.0681e-08
393,FAT2,6.023e-18
394,DIAPH1,0.91507
395,LOC100289361,[]
396,NDUFAF5,3.1138e-10
397,CAMSAP1,0.99985
398,POLR1A,0.9998
399,NRXN3,1.0
400,SLC26A4,8.9898e-22
401,NAGA,1.7703e-11
402,IREB2,0.9999100000000001
403,NGLY1,1.5117e-13
404,PIEZO2,8.099200000000001e-07
405,DHODH,0.0029884
406,SHKBP1,7.8108e-08
407,LYST,0.015026
408,TRAF7,0.021818999999999998
409,ATP8A1,0.1999
410,PPP1R26,
411,SAMM50,4.8795e-09
412,MYLK,9.1706e-12
413,BCL6B,0.046898
414,ANP32B,0.9582700000000001
415,UHRF1BP1L,0.004250199999999999
