,gene,pLI,oe_lof,oe_lof_lower,oe_lof_upper
484,AGRN,5.4727e-07,0.31914000000000003,0.237,0.435
485,REEP1,0.9863200000000001,0.0,0.0,0.23
486,ARHGAP32,0.9997799999999999,0.15984,0.103,0.254
487,ACTG2,0.071036,0.29886,0.155,0.628
488,MED14,1.0,0.01933,0.006,0.092
489,CHKB,3.7830999999999995e-07,0.58602,0.386,0.916
490,TAP2,6.799e-08,0.52474,0.358,0.787
491,EHMT1,1.0,0.015125999999999999,0.004,0.072
492,ADAMTS13,5.1408999999999996e-15,0.51542,0.393,0.683
493,AKNA,0.00012945,0.30949,0.215,0.454
494,PIK3C2A,0.010126000000000001,0.25355,0.181,0.359
495,NUBPL,1.0705e-05,0.56126,0.352,0.929
496,WFS1,1.6230999999999999e-38,1.6193,1.273,1.93
497,BCAP31,0.43366000000000005,0.20649,0.083,0.65
498,SLC16A2,0.9882799999999999,0.0,0.0,0.223
499,SF3B4,0.9917600000000001,0.0,0.0,0.208
500,MYH3,6.7197e-21,0.49887,0.397,0.63
