,gene,pLI,oe_lof,oe_lof_lower,oe_lof_upper
111,ATP7B,4.8001e-30,0.93189,0.737,1.188
112,DUSP22,0.0093421,0.44423999999999997,0.231,0.934
113,TNPO2,1.0,0.041138,0.016,0.129
114,MECP2,0.8938200000000001,0.085755,0.029,0.407
115,TSEN54,1.7512e-07,0.57282,0.382,0.882
116,KSR2,1.0,0.041703,0.016,0.131
117,ETS2,0.9988799999999999,0.041457,0.014,0.197
118,CHD1,1.0,0.092848,0.055,0.162
119,MACF1,1.0,0.056464999999999994,0.038,0.084
120,MT-TP,[],[],[],[]
121,KCNJ10,0.1502,0.29429,0.133,0.761
122,PLP1,0.92845,0.0,0.0,0.355
123,ATP1A2,0.00018093,0.32613000000000003,0.22,0.495
124,C17orf62,0.0006032,0.66673,0.364,1.312
125,B9D2,5.2557e-05,0.85657,0.485,1.575
126,B9D1,0.0028034,0.48208999999999996,0.263,0.952
127,SMARCA4,1.0,0.011662,0.003,0.055
128,KLF8,0.0022471,0.62735,0.327,1.313
129,CACHD1,5.827600000000001e-09,0.40925,0.297,0.572
130,TCIRG1,2.3981e-13,0.62763,0.462,0.866
131,LRP1,1.0,0.032397,0.018,0.058
132,QRICH1,0.9957600000000001,0.1309,0.067,0.275
133,ZMYM2,0.6664800000000001,0.2157,0.143,0.332
134,MN1,0.9999899999999999,0.0,0.0,0.087
135,POLG,2.0755999999999997e-09,0.40210999999999997,0.295,0.555
136,ANKRD46,0.51507,0.18958,0.077,0.597
137,PHLPP1,0.9992700000000001,0.14251,0.083,0.257
138,GYS1,0.0002914,0.33721999999999996,0.222,0.527
139,SMARCC2,1.0,0.045283,0.02,0.117
140,CDK5RAP3,7.6348e-15,0.7793399999999999,0.57,1.081
141,DYSF,3.6528e-33,0.60343,0.498,0.734
142,ACAN,1.0,0.097582,0.054,0.183
143,DOHH,0.015986,0.47423999999999994,0.233,1.084
144,MRPL58,[],[],[],[]
145,ATXN,[],[],[],[]
146,TSC2,1.0,0.023406,0.009,0.074
147,COG7,2.5926e-07,0.44588,0.307,0.661
148,SGCE,0.023761,0.2975,0.174,0.537
149,AMER1,0.8538,0.17658,0.091,0.371
150,TMEM138,0.047034,0.42876000000000003,0.194,1.106
151,CC2D2A,1.6721e-27,0.6274,0.507,0.781
152,NBEA,1.0,0.035174000000000004,0.017,0.074
153,KCTD2,0.20119,0.26974000000000004,0.122,0.697
154,RAD51,0.026577999999999997,0.32635,0.178,0.644
155,HSPG2,1.0375999999999998e-19,0.34121,0.283,0.412
156,GLE1,2.0536000000000003e-10,0.53084,0.381,0.752
157,DACH1,0.99954,0.0,0.0,0.135
158,MBD6,0.9993700000000001,0.06654700000000001,0.026,0.209
159,SACS,1.0852000000000001e-23,0.43656000000000006,0.357,0.536
160,GUCY1B3,2.5834e-05,0.42444,0.275,0.675
161,ADAMTSL4,2.6008e-28,0.85735,0.678,1.093
162,TCTN2,1.8379e-14,0.71799,0.528,0.99
163,TNNI2,0.14351,0.29835,0.135,0.771
164,AFF3,0.9999600000000001,0.1179,0.066,0.221
165,CHD3,1.0,0.08658500000000001,0.052,0.147
166,SON,1.0,0.051624,0.024,0.118
167,CFTR,2.1735e-58,1.0903,0.913,1.307
168,CYP11B2,7.1321e-19,1.1349,0.831,1.572
169,ATP2C2,5.024599999999999e-60,1.5302,1.268,1.838
170,SGSH,0.00010158,0.47413999999999995,0.291,0.804
171,COL25A1,1.6393000000000002e-18,0.6667,0.512,0.877
172,ADCY2,0.99898,0.14484,0.084,0.261
173,TTLL10,1.2286e-11,0.77894,0.547,1.132
174,GALK1,1.042e-05,0.64398,0.396,1.092
175,SLC35B4,2.6127e-05,0.5674399999999999,0.349,0.963
